antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
sausage|whole milk,rolls/buns|yogurt,0.10697793740379682,0.11133914828116984,0.022832221652129298,0.21342925659472423,1.916929129507454,1.0,0.01092138921671426,1.1297913877035126,0.5356332449993383,0.1167979002624672,0.11488084359302397,0.20924919050934368
rolls/buns|yogurt,sausage|whole milk,0.11133914828116984,0.10697793740379682,0.022832221652129298,0.20506912442396313,1.9169291295074538,1.0,0.01092138921671426,1.123395870048557,0.5382619300931573,0.1167979002624672,0.10984184056438043,0.20924919050934368
rolls/buns|sausage,whole milk|yogurt,0.0823499230374551,0.15059004617752694,0.022832221652129298,0.2772585669781932,1.8411480308023798,1.0,0.010431142939203145,1.1752611861078184,0.49785929455667144,0.10866910866910867,0.14912530778646843,0.2144384828076656
sausage|whole milk,other vegetables|yogurt,0.10697793740379682,0.12031811185223192,0.023088763468445357,0.2158273381294964,1.79380589345155,1.0,0.010217380030174266,1.1217961692893557,0.4955376807430814,0.11306532663316582,0.10857245961760774,0.20386249635685907
bottled water|yogurt,other vegetables|whole milk,0.06644433042585941,0.1913801949717804,0.022062596203181118,0.33204633204633205,1.7350088502903516,1.0,0.009346467291510742,1.2105926560827103,0.45378554036695484,0.09357997823721435,0.17395831291770378,0.2236639166934073
sausage|yogurt,rolls/buns|whole milk,0.07542329399692149,0.17855310415597742,0.022832221652129298,0.3027210884353742,1.6954120728751274,1.0,0.00936515838331007,1.1780750603811836,0.44363316664380414,0.09877913429522754,0.15115765231764167,0.21529732582688252
rolls/buns|sausage,soda|whole milk,0.0823499230374551,0.15110312981015905,0.02103642893791688,0.2554517133956386,1.6905785718441415,1.0,0.008593097827331694,1.1401501896692006,0.4451441117710031,0.09903381642512077,0.12292256839413698,0.1973353643378872
rolls/buns|whole milk|yogurt,sausage,0.0659312467932273,0.2060030785017958,0.022832221652129298,0.3463035019455253,1.6810598388339446,1.0,0.009250181843262822,1.2146262430061814,0.43373378717416183,0.09165808444902164,0.17670147030166639,0.2285689365269345
sausage|whole milk,other vegetables|rolls/buns,0.10697793740379682,0.14674191893278604,0.02616726526423807,0.24460431654676257,1.666901443879861,1.0,0.010469117446133457,1.1295511739842166,0.4480118965138482,0.1149943630214205,0.11469261151511742,0.21146299743422045
rolls/buns|sausage,other vegetables|whole milk,0.0823499230374551,0.1913801949717804,0.02616726526423807,0.31775700934579443,1.660344265991832,1.0,0.010407120937418801,1.1852372484660205,0.43340623920801197,0.10569948186528497,0.15628706295365058,0.22724311593295082
